ovr: Multiple top-level modules found, selecting 'tb_nanorv32' (no ports)
ovr: convert_from_json: Parsed 1 modules, 9123 signals, 2396 processes, 15 tasks
ovr: Resolved 7316/7316 SignalRef → SignalId at compile time
WARNING! No content specified for program memory
ovr: progress: sim_time=1116000 wall=0.2s timesteps=100 events=14191 delta_max=26
ovr: progress: sim_time=2316000 wall=0.3s timesteps=200 events=22741 delta_max=26
ovr: progress: sim_time=3516000 wall=0.4s timesteps=300 events=31291 delta_max=26
ovr: progress: sim_time=4716000 wall=0.5s timesteps=400 events=39841 delta_max=26
ovr: progress: sim_time=5916000 wall=0.6s timesteps=500 events=48391 delta_max=26
ovr: progress: sim_time=7116000 wall=0.7s timesteps=600 events=56941 delta_max=26
ovr: progress: sim_time=8316000 wall=0.9s timesteps=700 events=65491 delta_max=26
ovr: progress: sim_time=9516000 wall=1.0s timesteps=800 events=74041 delta_max=26
ovr: progress: sim_time=10716000 wall=1.1s timesteps=900 events=82591 delta_max=26
ovr: progress: sim_time=11916000 wall=1.2s timesteps=1000 events=91141 delta_max=26
ovr: progress: sim_time=13116000 wall=1.3s timesteps=1100 events=99691 delta_max=26
ovr: progress: sim_time=14316000 wall=1.5s timesteps=1200 events=108241 delta_max=26
ovr: progress: sim_time=15516000 wall=1.6s timesteps=1300 events=116791 delta_max=26
ovr: progress: sim_time=16716000 wall=1.7s timesteps=1400 events=125341 delta_max=26
ovr: progress: sim_time=17916000 wall=1.9s timesteps=1500 events=133891 delta_max=26
ovr: progress: sim_time=19116000 wall=2.0s timesteps=1600 events=142441 delta_max=26
ovr: progress: sim_time=20316000 wall=2.1s timesteps=1700 events=150991 delta_max=26
ovr: progress: sim_time=21516000 wall=2.2s timesteps=1800 events=159541 delta_max=26
ovr: progress: sim_time=22716000 wall=2.3s timesteps=1900 events=168091 delta_max=26
ovr: progress: sim_time=23916000 wall=2.5s timesteps=2000 events=176641 delta_max=26
ovr: progress: sim_time=25116000 wall=2.6s timesteps=2100 events=185191 delta_max=26
ovr: progress: sim_time=26316000 wall=2.7s timesteps=2200 events=193741 delta_max=26
ovr: progress: sim_time=27516000 wall=2.8s timesteps=2300 events=202291 delta_max=26
ovr: progress: sim_time=28716000 wall=2.9s timesteps=2400 events=210841 delta_max=26
ovr: progress: sim_time=29916000 wall=3.1s timesteps=2500 events=219391 delta_max=26
ovr: progress: sim_time=31116000 wall=3.2s timesteps=2600 events=227941 delta_max=26
ovr: progress: sim_time=32316000 wall=3.3s timesteps=2700 events=236491 delta_max=26
ovr: progress: sim_time=33516000 wall=3.4s timesteps=2800 events=245041 delta_max=26
ovr: progress: sim_time=34716000 wall=3.5s timesteps=2900 events=253591 delta_max=26
ovr: progress: sim_time=35916000 wall=3.6s timesteps=3000 events=262141 delta_max=26
ovr: progress: sim_time=37116000 wall=3.7s timesteps=3100 events=270691 delta_max=26
ovr: progress: sim_time=38316000 wall=3.8s timesteps=3200 events=279241 delta_max=26
ovr: progress: sim_time=39516000 wall=4.0s timesteps=3300 events=287791 delta_max=26
ovr: progress: sim_time=40716000 wall=4.1s timesteps=3400 events=296341 delta_max=26
ovr: progress: sim_time=41916000 wall=4.2s timesteps=3500 events=304891 delta_max=26
ovr: progress: sim_time=43116000 wall=4.3s timesteps=3600 events=313441 delta_max=26
ovr: progress: sim_time=44316000 wall=4.4s timesteps=3700 events=321991 delta_max=26
ovr: progress: sim_time=45516000 wall=4.5s timesteps=3800 events=330541 delta_max=26
ovr: progress: sim_time=46716000 wall=4.6s timesteps=3900 events=339091 delta_max=26
ovr: progress: sim_time=47916000 wall=4.7s timesteps=4000 events=347641 delta_max=26
ovr: progress: sim_time=49116000 wall=4.8s timesteps=4100 events=356191 delta_max=26
ovr: progress: sim_time=50316000 wall=4.9s timesteps=4200 events=364741 delta_max=26
ovr: progress: sim_time=51516000 wall=5.1s timesteps=4300 events=373291 delta_max=26
ovr: progress: sim_time=52716000 wall=5.2s timesteps=4400 events=381841 delta_max=26
ovr: progress: sim_time=53916000 wall=5.3s timesteps=4500 events=390391 delta_max=26
ovr: progress: sim_time=55116000 wall=5.4s timesteps=4600 events=398941 delta_max=26
ovr: progress: sim_time=56316000 wall=5.5s timesteps=4700 events=407491 delta_max=26
