#
# File created on Tue Mar 01 09:26:38 CET 2016
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[10],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[11],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[12],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[13],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[14],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[1],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[2],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[3],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[4],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[5],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[6],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[7],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[8],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_0/ADDRARDADDR[9],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[10],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[11],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[12],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[13],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[14],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[1],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[2],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[3],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[4],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[5],max,7.666,15,15
U_CPU/rd_pt_r_reg[1]/C,u_tcm0/U_RAM/RAM_reg_0_1/ADDRARDADDR[6],max,7.666,15,15
